team_id,player_id,game_pk,batting_order,plate_appearances,total_bases,caught_stealing,stolen_bases,stolen_base_percentage,pickoffs,summary,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run
115,453568,746565,1,4,2,0,0,.---,0,"1-4 | 2B, R",2,1,2,1,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,-.--
115,678662,746565,2,4,1,0,0,.---,0,1-3 | K,0,1,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,-.--
115,641857,746565,3,4,0,0,0,.---,0,"0-3 | K, RBI",2,1,2,0,0,0,0,1,0,0,0,0,3,1,0,1,2,0,1,0,-.--
115,553869,746565,4,3,0,0,0,.---,0,0-3 | 2 K,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,-.--
115,660707,746565,5,3,0,0,0,.---,0,0-3 | K,2,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,-.--
115,666134,746565,6,3,0,0,0,.---,0,0-3 | 2 K,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,-.--
115,686668,746565,7,3,2,0,0,.---,0,"1-3 | 2B, 2 K",0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,-.--
115,663898,746565,8,3,0,0,0,.---,0,0-3 | K,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,-.--
115,656248,746565,9,3,2,0,0,.---,0,"1-3 | 2B, K",1,0,1,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,-.--
110,683002,746242,1,4,4,0,0,.---,0,"2-4 | 3B, K, R",1,0,1,1,0,1,0,1,0,0,2,0,4,0,0,0,1,0,0,0,-.--
110,668939,746242,2,4,3,0,0,.---,0,"2-4 | 2B, K, 2 RBI",1,0,1,0,1,0,0,1,0,0,2,0,4,0,0,2,1,0,0,0,-.--
110,676059,746242,3,4,0,0,1,1,0,"0-3 | BB, K, SB",1,1,1,0,0,0,0,1,1,0,0,0,3,1,0,0,2,0,0,0,-.--
110,623993,746242,4,4,0,0,0,.---,0,0-3 | BB,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,-.--
110,602104,746242,5,4,0,0,0,.---,0,0-4,1,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,-.--
110,656775,746242,6,4,0,0,1,1,0,"0-3 | BB, SB",1,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,-.--
110,543510,746242,7,4,4,0,0,.---,0,"1-4 | HR, K, RBI",1,1,1,1,0,0,1,1,0,0,1,0,4,0,0,1,2,0,0,0,4
110,681297,746242,8,4,4,0,0,.---,0,"1-4 | HR, 2 K, RBI",1,0,1,1,0,0,1,2,0,0,1,0,4,0,0,1,1,0,0,0,4
110,622761,746242,9,4,0,0,2,1,0,"0-3 | BB, R, 2 SB",2,1,2,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,-.--
108,694384,746242,1,5,1,0,0,.---,0,1-4 | RBI,0,3,1,0,0,0,0,0,0,0,1,0,4,0,0,1,4,1,0,0,-.--
108,545361,746242,2,5,0,0,0,.---,0,"0-3 | 2 BB, 2 K",0,1,0,0,0,0,0,2,2,0,0,0,3,0,0,0,5,0,0,0,-.--
108,621493,746242,3,4,0,0,0,.---,0,0-4,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,-.--
108,593934,746242,4,4,1,0,0,.---,0,1-4 | 2 K,1,0,1,0,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,-.--
